Title,Release Date,Color/B&W,Genre,Language,Country,Rating,Lead Actor,Director Name,Lead Actor FB Likes,Cast FB Likes,Director FB Likes,Movie FB Likes,IMDb Score (1-10), Total Reviews ,Duration (min),Gross Revenue,Budget
City Island,4/30/2009,Color,Comedy,English,USA,PG-13,Ezra Miller,Raymond De Felitta,3000,3825,20,0,7.4,149,104,6670712,6000000
City of Life and Death,1/2/2009,Black and White,Drama,Mandarin,China,R,Ye Liu,Chuan Lu,52,91,14,0,7.7,149,132,119922,12000000
Cloudy with a Chance of Meatballs,6/14/2009,Color,Animation,English,USA,PG,Will Forte,Phil Lord,622,1227,97,0,7,191,90,124870275,100000000
Coco Before Chanel,4/15/2009,Color,Biography,French,France,PG-13,Alessandro Nivola,Anne Fontaine,527,735,105,0,6.7,165,111,6109075,19430000
Coraline,9/4/2009,Black and White,Animation,English,USA,PG,Jennifer Saunders,Henry Selick,309,647,253,10000,7.7,310,100,75280058,60000000
Couples Retreat,2/2/2009,Color,Comedy,English,USA,PG-13,Jon Favreau,Peter Billingsley,4000,8172,0,0,5.5,166,113,109176215,60000000
Crank: High Voltage,11/8/2009,Color,Action,English,USA,R,Jason Statham,Mark Neveldine,26000,30541,83,0,6.2,150,96,13630226,20000000
Crazy Heart,8/4/2009,Color,Drama,English,USA,R,Jeff Bridges,Scott Cooper,12000,13172,108,0,7.3,273,112,39462438,7000000
Dance Flick,4/24/2009,Color,Action,English,USA,PG-13,Damon Wayans Jr.,Damien Dante Wayans,756,4378,82,657,3.5,83,88,25615792,25000000
Daybreakers,12/15/2009,Color,Action,English,Australia,R,Jay Laga'aia,Michael Spierig,125,189,35,0,6.5,292,98,29975979,20000000
Dead Snow,2/16/2009,Color,Comedy,Norwegian,Norway,Not Rated,Bjørn Sundquist,Tommy Wirkola,35,116,75,23000,6.4,224,91,41709,800000
Defendor,7/15/2009,Color,Comedy,English,Canada,R,Michael Kelly,Peter Stebbings,963,2658,89,0,6.8,78,95,37606,3500000
Did You Hear About the Morgans?,5/27/2009,Color,Comedy,English,USA,PG-13,Michael Kelly,Marc Lawrence,963,3150,30,0,4.7,133,103,29580087,58000000
District 9,2/2/2009,Color,Action,English,South Africa,R,Sharlto Copley,Neill Blomkamp,2000,2639,662,22000,8,472,112,115646235,30000000
Drag Me to Hell,9/9/2009,Color,Horror,English,USA,PG-13,Bojana Novakovic,Sam Raimi,2000,5642,0,11000,6.6,397,99,42057340,30000000
Dragonball: Evolution,12/7/2009,Color,Action,English,USA,PG,Ian Whyte,James Wong,473,1100,70,0,2.7,130,100,9353573,45000000
Duplicity,2/12/2009,Color,Comedy,English,USA,PG-13,Julia Roberts,Tony Gilroy,8000,10623,209,0,6.2,211,125,40559930,60000000
Enter the Void,5/19/2009,Color,Drama,English,France,Not Rated,Paz de la Huerta,Gaspar Noé,488,943,929,23000,7.3,216,161,336467,13000000
Everybody's Fine,12/11/2009,Color,Adventure,English,USA,PG-13,Robert De Niro,Kirk Jones,22000,23409,52,10000,7.2,160,99,8855646,21000000
Extract,8/21/2009,Color,Comedy,English,USA,R,J.K. Simmons,Mike Judge,24000,41867,406,0,6.2,192,92,10814185,8000000
Fame,1/27/2009,Color,Comedy,English,USA,PG,Kelsey Grammer,Kevin Tancharoen,808,5734,64,0,5,134,123,22452209,18000000
Fantastic Mr. Fox,12/29/2009,Color,Adventure,English,USA,PG,Bill Murray,Wes Anderson,13000,24770,0,15000,7.8,335,87,20999103,40000000
Funny People,3/24/2009,Color,Comedy,English,USA,R,Adam Sandler,Judd Apatow,11000,11852,0,0,6.4,230,153,51814190,75000000
G.I. Joe: The Rise of Cobra,1/30/2009,Color,Action,English,USA,PG-13,Joseph Gordon-Levitt,Stephen Sommers,23000,26683,208,0,5.8,250,118,150167630,175000000
Gamer,9/27/2009,Color,Action,English,USA,R,Gerard Butler,Mark Neveldine,18000,29926,83,0,5.8,180,95,20488579,50000000
Get Low,8/24/2009,Color,Drama,English,USA,PG-13,Bill Murray,Aaron Schneider,13000,19330,11,0,7.1,160,100,9176553,7500000
G-Force,10/4/2009,Color,Action,English,USA,PG,Kelli Garner,Hoyt Yeatman,730,2217,12,0,5.1,145,88,119420252,150000000
Halloween II,9/7/2009,Color,Horror,English,USA,R,Scout Taylor-Compton,Rob Zombie,908,3226,0,3000,4.9,220,119,33386128,15000000
Hannah Montana: The Movie,3/16/2009,Color,Comedy,English,USA,G,Emily Osment,Peter Chelsom,1000,4516,23,0,4.2,131,102,79566871,30000000
Harry Brown,3/27/2009,Color,Action,English,UK,R,Joseph Gilgun,Daniel Barber,788,2486,12,0,7.2,224,97,1818681,7300000
Harry Potter and the Half-Blood Prince,12/19/2009,Color,Adventure,English,UK,PG,Alan Rickman,David Yates,25000,58753,282,10000,7.5,375,153,301956980,250000000
He's Just Not That Into You,7/15/2009,Color,Comedy,English,USA,PG-13,Carmen Perez,Ken Kwapis,97,318,42,12000,6.4,161,129,93952276,40000000
Hotel for Dogs,10/9/2009,Color,Comedy,English,USA,PG,Don Cheadle,Thor Freudenthal,3000,5174,87,1000,5.4,107,100,73023275,35000000
I Am Love,8/5/2009,Color,Drama,Italian,Italy,R,Flavio Parenti,Luca Guadagnino,144,474,64,0,7,181,120,5004648,10000000
I Can Do Bad All by Myself,9/3/2009,Color,Comedy,English,USA,PG-13,Eric Mendenhall,Tyler Perry,607,1465,0,1000,4.1,36,113,51697449,13000000
I Love You Phillip Morris,8/19/2009,Color,Biography,English,France,R,Dameon Clarke,Glenn Ficarra,170,931,43,11000,6.6,242,102,2035566,13000000
"I Love You, Beth Cooper",11/14/2009,Color,Comedy,English,Canada,PG-13,Alan Ruck,Chris Columbus,946,4072,0,0,5.3,107,102,14793904,18000000
"I Love You, Man",5/15/2009,Color,Comedy,English,USA,R,J.K. Simmons,John Hamburg,24000,28928,29,0,7.1,215,105,71347010,40000000
Ice Age: Dawn of the Dinosaurs,10/10/2009,Color,Action,English,USA,PG,Denis Leary,Carlos Saldanha,835,1258,107,0,7,188,94,196573705,90000000
Imagine That,12/19/2009,Color,Comedy,English,USA,PG,Stephen Root,Karey Kirkpatrick,939,3742,11,610,5.6,93,107,16088610,55000000
Inglourious Basterds,3/17/2009,Color,Adventure,English,USA,R,Michael Fassbender,Quentin Tarantino,13000,36741,16000,42000,8.3,486,153,120523073,75000000
Invictus,3/20/2009,Color,Biography,English,USA,PG-13,Matt Damon,Clint Eastwood,13000,24458,16000,23000,7.4,306,134,37479778,60000000
It's Complicated,2/1/2009,Color,Comedy,English,USA,R,Meryl Streep,Nancy Meyers,11000,15226,278,0,6.6,187,120,112703470,85000000
Jennifer's Body,8/30/2009,Color,Comedy,English,USA,R,J.K. Simmons,Karyn Kusama,24000,24805,45,6000,5.1,300,107,16204793,16000000
Julie & Julia,8/7/2009,Color,Biography,English,USA,PG-13,Meryl Streep,Nora Ephron,11000,13321,0,13000,7,252,123,94125426,40000000
Knowing,1/23/2009,Color,Drama,English,USA,PG-13,Nicolas Cage,Alex Proyas,12000,13421,295,0,6.2,279,121,79948113,50000000
Land of the Lost,11/24/2009,Color,Adventure,English,USA,PG-13,Will Ferrell,Brad Silberling,8000,10552,52,0,5.4,167,102,49392095,100000000
Law Abiding Citizen,8/7/2009,Color,Crime,English,USA,R,Gerard Butler,F. Gary Gray,18000,22517,473,21000,7.4,216,118,73343413,50000000
Love Happens,7/5/2009,Color,Drama,English,USA,PG-13,Judy Greer,Brandon Camp,2000,4947,7,0,5.6,111,109,22927390,18000000
Micmacs,11/11/2009,Color,Action,French,France,R,Omar Sy,Jean-Pierre Jeunet,1000,1342,0,0,7.2,213,105,1260917,27000000
Miss March,9/20/2009,Color,Comedy,English,USA,R,Hugh M. Hefner,Zach Cregger,373,1831,138,985,5.1,76,90,4542775,6000000
Monsters vs. Aliens,5/30/2009,Color,Action,English,USA,PG,Amy Poehler,Rob Letterman,1000,2579,11,0,6.5,219,94,198332128,175000000
Moon,7/12/2009,Color,Drama,English,UK,R,Kevin Spacey,Duncan Jones,18000,19404,0,47000,7.9,415,97,5009677,5000000
Mother and Child,7/22/2009,Color,Drama,English,USA,R,Naomi Watts,Rodrigo García,6000,8876,127,0,7.2,161,125,1110286,4825000
Motherhood,4/4/2009,Color,Comedy,English,USA,PG-13,Stephanie Szostak,Katherine Dieckmann,1000,3146,8,546,4.7,43,90,92900,5000000
My Bloody Valentine,6/10/2009,Color,Horror,English,USA,R,Jensen Ackles,Patrick Lussier,10000,14159,71,0,5.5,264,101,51527787,15000000
My Life in Ruins,11/6/2009,Color,Comedy,English,USA,PG-13,Nia Vardalos,Donald Petrie,567,2016,80,0,5.9,112,98,8662318,17000000
My Sister's Keeper,2/27/2009,Color,Drama,English,USA,PG-13,Jason Patric,Nick Cassavetes,673,1775,415,15000,7.4,148,109,49185998,30000000
New in Town,10/8/2009,Color,Comedy,English,USA,PG,J.K. Simmons,Jonas Elmer,24000,25792,3,0,5.6,121,97,16699684,8000000
Next Day Air,7/16/2009,Color,Action,English,USA,R,Omari Hardwick,Benny Boom,1000,4815,23,545,5.9,49,84,10017041,3000000
Night at the Museum: Battle of the Smithsonian,7/17/2009,Color,Adventure,English,USA,PG,Robin Williams,Shawn Levy,49000,54039,189,2000,5.9,185,105,177243721,150000000
Nine,11/18/2009,Black and White,Drama,English,USA,PG-13,Fergie,Rob Marshall,529,619,252,0,5.8,205,118,19673424,80000000
Ninja Assassin,11/4/2009,Color,Action,English,USA,R,Shô Kosugi,James McTeigue,330,701,160,0,6.4,235,99,38105077,40000000
Not Easily Broken,5/1/2009,Color,Drama,English,USA,PG-13,Eddie Cibrian,Bill Duke,849,2269,1000,738,6.1,45,99,10572742,8000000
Observe and Report,9/12/2009,Color,Comedy,English,USA,R,Collette Wolfe,Jody Hill,390,727,62,0,5.8,190,86,23993605,18000000
Oceans,6/6/2009,Color,Documentary,French,France,G,Pedro Armendáriz Jr.,Jacques Perrin,67,152,63,0,7.8,113,104,19406406,40000000
Old Dogs,5/8/2009,Color,Comedy,English,USA,PG,Robin Williams,Walt Becker,49000,53370,12,0,5.4,124,88,49474048,35000000
Ondine,11/5/2009,Color,Drama,English,Ireland,PG-13,Tony Curran,Neil Jordan,845,1554,277,0,6.8,123,111,548934,12000000
Paa,11/2/2009,Color,Comedy,Hindi,India,,Vidya Balan,R. Balki,464,1045,12,504,7.2,12,133,199228,150000000
Pandorum,9/3/2009,Color,Action,English,Germany,R,Norman Reedus,Christian Alvart,12000,14127,22,10000,6.8,219,108,10326062,33000000
Paul Blart: Mall Cop,12/11/2009,Color,Action,English,USA,PG,Erick Avari,Steve Carr,567,2954,41,0,5.2,167,91,20819129,26000000
Planet 51,3/10/2009,Color,Adventure,English,Spain,PG,Dwayne Johnson,Jorge Blanco,12000,22668,2,0,6.1,156,91,42194060,70000000
Post Grad,2/7/2009,Color,Comedy,English,USA,PG-13,J.K. Simmons,Vicky Jenson,24000,25637,96,0,5.3,97,88,6373693,15000000
Precious,8/23/2009,Color,Drama,English,USA,R,Mo'Nique,Lee Daniels,940,3277,304,12000,7.3,323,109,47536959,10000000
Princess Kaiulani,3/27/2009,Color,Drama,English,USA,PG,Q'orianka Kilcher,Marc Forby,679,1426,3,0,6.2,26,97,883887,9000000
Public Enemies,11/30/2009,Color,Biography,English,USA,R,Johnny Depp,Michael Mann,40000,64599,0,0,7,357,140,97030725,100000000
Race to Witch Mountain,5/5/2009,Color,Action,English,USA,PG,Dwayne Johnson,Andy Fickman,12000,14007,99,0,5.7,166,98,67128202,65000000
Saint John of Las Vegas,3/16/2009,Color,Comedy,English,USA,R,Peter Dinklage,Hue Rhodes,22000,36885,0,407,5.8,45,85,100669,3800000
Saw VI,8/26/2009,Color,Horror,English,Canada,R,Costas Mandylor,Kevin Greutert,723,3101,52,0,6,156,92,27669413,11000000
Sherlock Holmes,10/10/2009,Color,Action,English,USA,PG-13,Robert Downey Jr.,Guy Ritchie,21000,23996,0,20000,7.6,415,128,209019489,90000000
Shorts,4/16/2009,Color,Comedy,English,USA,PG,Jimmy Bennett,Robert Rodriguez,87000,88422,0,431,4.9,103,89,20916309,40000000
Solitary Man,11/24/2009,Color,Comedy,English,USA,R,Jenna Fischer,Brian Koppelman,966,2661,34,0,6.4,116,90,4360548,15000000
Sorority Row,11/1/2009,Color,Horror,English,USA,R,Julian Morris,Stewart Hendler,1000,3142,10,0,5.1,167,101,11956207,16000000
Soul Kitchen,7/24/2009,Color,Comedy,German,Germany,,Udo Kier,Fatih Akin,595,1519,766,0,7.3,115,99,274385,4000000
Splice,11/18/2009,Color,Drama,English,Canada,R,Sarah Polley,Vincenzo Natali,900,2222,165,12000,5.8,368,104,16999046,26000000
Star Trek,6/22/2009,Color,Action,English,USA,PG-13,Chris Hemsworth,J.J. Abrams,26000,39284,14000,19000,8,518,127,257704099,150000000
Street Fighter: The Legend of Chun-Li,12/25/2009,Color,Action,English,Canada,PG-13,Chris Klein,Andrzej Bartkowiak,841,1385,43,0,3.7,103,96,8742261,18000000
Surrogates,11/28/2009,Color,Action,English,USA,PG-13,Bruce Willis,Jonathan Mostow,13000,18132,84,0,6.3,258,89,38542418,80000000
Survival of the Dead,2/19/2009,Color,Horror,English,USA,R,Julian Richings,George A. Romero,648,1951,0,0,5,274,90,101055,4000000
Taking Woodstock,11/10/2009,Color,Comedy,English,USA,R,Imelda Staunton,Ang Lee,579,1500,0,0,6.7,210,120,7443007,30000000
Tanner Hall,1/15/2009,Color,Drama,English,USA,R,Tom Everett Scott,Francesca Gregorini,433,1929,15,448,5.9,21,96,5005,3000000
Terminator Salvation,2/7/2009,Color,Action,English,USA,PG-13,Christian Bale,McG,23000,27468,368,0,6.6,422,118,125320003,200000000
The Blind Side,9/13/2009,Color,Biography,English,USA,PG-13,Catherine Dyer,John Lee Hancock,768,3389,102,38000,7.7,261,129,255950375,29000000
The Boondock Saints II: All Saints Day,2/20/2009,Color,Action,English,USA,R,Norman Reedus,Troy Duffy,12000,17524,78,0,6.3,91,138,10269307,8000000
The Box,9/1/2009,Color,Drama,English,USA,PG-13,Frank Langella,Richard Kelly,902,2466,219,0,5.6,287,115,15045676,16000000
The Damned United,12/8/2009,Color,Biography,English,UK,R,Stephen Graham,Tom Hooper,1000,1163,0,0,7.6,145,98,449558,10000000
The Final Destination,9/8/2009,Color,Horror,English,USA,R,Krista Allen,David R. Ellis,164000,303717,160,0,5.2,221,82,66466372,40000000
The Fourth Kind,3/3/2009,Color,Mystery,English,USA,PG-13,Milla Jovovich,Olatunde Osunsanmi,14000,15251,58,15000,5.9,183,98,25464480,10000000
The Good Guy,12/12/2009,Color,Comedy,English,USA,R,Adrian Martinez,Julio DePietro,806,3124,0,1000,5.9,22,90,100503,8000000
The Good Heart,9/27/2009,Color,Drama,English,Iceland,R,Alice Olivia Clarke,Dagur Kári,117,298,29,0,6.9,61,99,19959,3800000
The Greatest,9/24/2009,Color,Drama,English,USA,R,Jennifer Ehle,Shana Feste,1000,2163,19,0,6.7,63,96,115862,6000000
The Hangover,11/25/2009,Color,Comedy,English,USA,R,Bradley Cooper,Todd Phillips,14000,17623,480,24000,7.8,334,108,277313371,35000000
The Horse Boy,11/21/2009,Color,Documentary,English,USA,Unrated,Temple Grandin,Michel Orion Scott,58,62,0,0,7.4,29,93,155984,160000
The House of the Devil,5/25/2009,Color,Horror,English,USA,R,Lena Dunham,Ti West,969,3833,243,0,6.4,238,95,100659,900000
The Imaginarium of Doctor Parnassus,2/16/2009,Color,Adventure,English,UK,PG-13,Andrew Garfield,Terry Gilliam,10000,11769,0,19000,6.8,292,123,7689458,40000000
The Informant!,2/17/2009,Color,Comedy,English,USA,R,Matt Damon,Steven Soderbergh,13000,16031,0,0,6.5,248,108,33313582,21000000
The International,2/19/2009,Color,Action,English,USA,R,Naomi Watts,Tom Tykwer,6000,7654,670,0,6.5,245,118,25450527,50000000
The Invention of Lying,5/18/2009,Color,Comedy,English,USA,PG-13,Jennifer Garner,Ricky Gervais,3000,7252,0,13000,6.4,192,100,18439082,18500000
The Joneses,11/25/2009,Color,Comedy,English,USA,R,Demi Moore,Derrick Borte,2000,4607,17,0,6.5,144,96,1474508,5000000
The Last House on the Left,6/10/2009,Color,Crime,English,USA,R,Tony Goldwyn,Dennis Iliadis,956,3861,29,0,6.6,241,114,32721635,15000000
The Last Station,4/1/2009,Color,Biography,English,Germany,R,David Masterson,Michael Hoffman,577,1341,97,0,7,184,112,6615578,13000000
The Lovely Bones,8/18/2009,Color,Drama,English,USA,PG-13,Michael Imperioli,Peter Jackson,873,2370,0,16000,6.7,308,135,43982842,65000000
The Men Who Stare at Goats,2/16/2009,Color,Comedy,English,USA,R,Kevin Spacey,Grant Heslov,18000,32474,293,15000,6.2,271,94,32416109,25000000
The Messenger,12/15/2009,Color,Drama,English,USA,R,Steve Buscemi,Oren Moverman,12000,14462,38,0,7.2,217,105,66637,6500000
The Mighty Macs,12/6/2009,Color,Drama,English,USA,G,Ellen Burstyn,Tim Chambers,1000,2589,2,797,6.5,34,99,1889522,7000000
The Missing Person,12/18/2009,Color,Drama,English,USA,,Merritt Wever,Noah Buschel,529,2749,8,195,6.2,66,95,17580,1500000
The Open Road,7/10/2009,Color,Comedy,English,USA,PG-13,Jeff Bridges,Michael Meredith,12000,16118,7,370,5.5,23,91,19348,10000000
The Perfect Game,4/26/2009,Black and White,Comedy,English,Canada,PG,Clifton Collins Jr.,William Dear,968,4270,50,0,7,41,118,1089445,12500000
The Princess and the Frog,12/24/2009,Color,Animation,English,USA,G,Oprah Winfrey,Ron Clements,852,2480,63,5000,7.1,228,97,104374107,105000000
The Proposal,11/23/2009,Color,Comedy,English,USA,PG-13,Ryan Reynolds,Anne Fletcher,16000,18656,98,10000,6.7,224,108,163947053,40000000
The Road,4/13/2009,Color,Adventure,English,USA,R,Viggo Mortensen,John Hillcoat,10000,23566,214,32000,7.3,355,111,56692,25000000
The Secret in Their Eyes,6/15/2009,Color,Drama,Spanish,Argentina,R,Ricardo Darín,Juan José Campanella,827,1044,195,33000,8.2,262,129,20167424,2000000
The Secret of Kells,10/16/2009,Color,Adventure,English,France,Not Rated,Sean Lennon,Tomm Moore,61,75,45,11000,7.7,118,75,686383,6500000
The Soloist,5/12/2009,Color,Biography,English,UK,PG-13,Robert Downey Jr.,Joe Wright,21000,23745,456,0,6.7,210,117,31670931,60000000
The Taking of Pelham 1 2 3,10/29/2009,Color,Action,English,USA,R,Denzel Washington,Tony Scott,18000,19906,12000,0,6.4,267,106,65452312,100000000
The Time Traveler's Wife,1/19/2009,Color,Drama,English,USA,PG-13,Arliss Howard,Robert Schwentke,152,568,124,13000,7.1,214,107,63411478,39000000
The Twilight Saga: New Moon,9/27/2009,Color,Adventure,English,USA,PG-13,Robert Pattinson,Chris Weitz,21000,64040,129,13000,4.6,299,130,296623634,50000000
The Ugly Truth,1/16/2009,Color,Comedy,English,USA,R,Gerard Butler,Robert Luketic,18000,22436,126,9000,6.5,174,96,88915214,38000000
The Unborn,4/16/2009,Color,Drama,English,USA,PG-13,Gary Oldman,David S. Goyer,10000,12183,687,0,4.8,178,89,42638165,16000000
The White Ribbon,6/3/2009,Black and White,Drama,German,Germany,R,Ulrich Tukur,Michael Haneke,63,167,0,0,7.8,292,144,2222647,12000000
The Young Victoria,12/27/2009,Color,Biography,English,UK,PG,Michiel Huisman,Jean-Marc Vallée,2000,5890,212,0,7.3,188,100,10991381,35000000
This Is It,5/29/2009,Color,Documentary,English,USA,PG,Misha Gabriel Hamilton,Kenny Ortega,433,679,197,0,7.3,136,111,71844424,60000000
To Save a Life,4/5/2009,Color,Drama,English,USA,PG-13,Randy Wayne,Brian Baugh,984,2563,3,0,7.1,20,120,3773863,1000000
Transformers: Revenge of the Fallen,2/24/2009,Color,Action,English,USA,PG-13,Glenn Morshower,Michael Bay,894,3218,0,0,6,366,150,402076689,200000000
Underworld: Rise of the Lycans,2/3/2009,Color,Action,English,USA,R,Craig Parker,Patrick Tatopoulos,978,2184,148,0,6.6,164,92,45802315,35000000
Up,10/23/2009,Color,Adventure,English,USA,PG,John Ratzenberger,Pete Docter,1000,2635,0,27000,8.3,408,96,292979556,175000000
Up in the Air,4/28/2009,Color,Drama,English,USA,R,J.K. Simmons,Jason Reitman,24000,35209,655,19000,7.4,391,108,83813460,25000000
Watchmen,1/26/2009,Color,Action,English,USA,R,Matt Frewer,Zack Snyder,986,2530,0,18000,7.7,451,215,107503316,130000000
Whatever Works,6/2/2009,Color,Comedy,English,USA,PG-13,Larry David,Woody Allen,860,2717,11000,10000,7.2,218,92,5306447,15000000
Where the Wild Things Are,3/23/2009,Color,Adventure,English,Germany,PG,Catherine O'Hara,Spike Jonze,925,1738,0,11000,6.8,333,101,77222184,100000000
Whip It,3/27/2009,Color,Drama,English,USA,PG-13,Daniel Stern,Drew Barrymore,796,2633,0,10000,6.9,230,111,13034417,15000000
Whiteout,12/24/2009,Color,Action,English,USA,R,Tom Skerritt,Dominic Sena,1000,1947,57,0,5.5,166,101,10268846,35000000
X-Men Origins: Wolverine,7/29/2009,Color,Action,English,USA,PG-13,Hugh Jackman,Gavin Hood,20000,40054,151,0,6.7,350,119,179883016,150000000
Year One,10/5/2009,Color,Adventure,English,USA,PG-13,Olivia Wilde,Harold Ramis,10000,12258,11000,0,4.9,170,100,43337279,60000000
Youth in Revolt,12/16/2009,Color,Comedy,English,USA,R,Steve Buscemi,Miguel Arteta,12000,16004,44,0,6.5,192,90,15281286,18000000
Zombieland,4/30/2009,Color,Adventure,English,USA,R,Emma Stone,Ruben Fleischer,15000,28011,181,26000,7.7,445,88,75590286,23600000
127 Hours,5/14/2010,Color,Adventure,English,USA,R,James Franco,Danny Boyle,11000,11984,0,63000,7.6,450,94,18329466,18000000
8: The Mormon Proposition,1/12/2010,Color,Documentary,English,USA,R,Dustin Lance Black,Reed Cowan,191,210,0,0,7.1,28,80,99851,2500000
Alice in Wonderland,3/29/2010,Color,Adventure,English,USA,PG,Johnny Depp,Tim Burton,40000,79957,13000,24000,6.5,451,108,334185206,200000000
Alpha and Omega,2/16/2010,Color,Adventure,English,USA,PG,Kevin Sussman,Anthony Bell,681,2486,0,0,5.3,84,90,25077977,20000000
Amigo,2/9/2010,Color,Drama,English,USA,R,Brian Lee Franklin,John Sayles,38,60,407,594,5.8,35,124,183490,1700000
Another Year,9/25/2010,Color,Comedy,English,UK,PG-13,Jim Broadbent,Mike Leigh,1000,2265,608,0,7.3,248,129,3205244,10000000
Beginners,6/2/2010,Color,Comedy,English,USA,R,Goran Visnjic,Mike Mills,1000,2016,101,15000,7.2,261,105,5776314,3200000
Beyond the Black Rainbow,4/13/2010,Color,Sci-Fi,English,Canada,R,Chris Gauthier,Panos Cosmatos,434,645,22,0,6.1,97,110,56129,1100000
Black Swan,2/19/2010,Color,Drama,English,USA,R,Natalie Portman,Darren Aronofsky,20000,38072,0,106000,8,669,108,106952327,13000000
Blue Valentine,7/23/2010,Color,Drama,English,USA,R,Ryan Gosling,Derek Cianfrance,33000,35941,310,25000,7.4,377,112,9701559,3500000
Buried,9/12/2010,Color,Drama,English,Spain,R,Ryan Reynolds,Rodrigo Cortés,16000,17471,89,24000,7,363,95,1028658,3000000
Burlesque,5/29/2010,Color,Drama,English,USA,PG-13,Eric Dane,Steve Antin,2000,4315,59,19000,6.4,197,119,39440655,55000000
Ca$h,3/5/2010,Color,Comedy,English,USA,R,Chris Hemsworth,Stephen Milburn Anderson,26000,27756,0,694,6,27,118,46451,7000000
Casino Jack,7/12/2010,Color,Biography,English,Canada,R,Kevin Spacey,George Hickenlooper,18000,18739,60,0,6.2,117,108,1039869,15000000
Cats & Dogs: The Revenge of Kitty Galore,11/28/2010,Color,Action,English,USA,PG,Jack McBrayer,Brad Peyton,975,3326,62,0,4.3,91,82,43575716,85000000
Charlie St. Cloud,12/29/2010,Color,Drama,English,USA,PG-13,Augustus Prew,Burr Steers,405,1066,23,0,6.5,117,99,31136950,44000000
Clash of the Titans,4/18/2010,Color,Action,English,USA,PG-13,Liam Neeson,Louis Leterrier,14000,18003,255,15000,5.8,344,106,163192114,125000000
Cop Out,8/27/2010,Color,Action,English,USA,R,Bruce Willis,Kevin Smith,13000,14483,0,0,5.6,203,107,44867349,37000000
Country Strong,10/17/2010,Color,Drama,English,Official site,PG-13,Leighton Meester,Shana Feste,3000,4204,19,0,6.3,135,117,20218921,15000000
Cyrus,7/30/2010,Color,Comedy,English,USA,R,Matt Walsh,Jay Duplass,490,1136,157,0,6.3,223,91,7455447,7000000
Date Night,8/29/2010,Color,Comedy,English,USA,PG-13,Mila Kunis,Shawn Levy,15000,39822,189,0,6.3,247,101,98711404,55000000
Dear John,4/16/2010,Color,Drama,English,USA,PG-13,Channing Tatum,Lasse Hallström,17000,19945,529,14000,6.3,162,108,80014842,25000000
Despicable Me,9/24/2010,Color,Animation,English,USA,PG,Steve Carell,Pierre Coffin,7000,11608,275,31000,7.7,304,87,251501645,69000000
Devil,12/18/2010,Color,Horror,English,USA,PG-13,Bojana Novakovic,John Erick Dowdle,2000,5628,66,16000,6.3,273,80,33583175,10000000
Diary of a Wimpy Kid,12/27/2010,Color,Comedy,English,USA,PG,Chloë Grace Moretz,Thor Freudenthal,17000,20154,87,0,6.2,111,94,64001297,15000000
Don't Be Afraid of the Dark,10/26/2010,Color,Fantasy,English,USA,R,Bailee Madison,Troy Nixey,3000,3744,24,10000,5.6,298,99,24042490,25000000
Due Date,12/30/2010,Color,Comedy,English,USA,R,Robert Downey Jr.,Todd Phillips,21000,23018,480,25000,6.6,307,95,100448498,65000000
Dylan Dog: Dead of Night,7/24/2010,Color,Action,English,USA,PG-13,Marco St. John,Kevin Munroe,403,1577,14,0,5.1,138,107,1183354,20000000
Easy A,1/11/2010,Color,Comedy,English,USA,PG-13,Emma Stone,Will Gluck,15000,16982,87,19000,7.1,262,92,58401464,8000000
Eat Pray Love,7/1/2010,Color,Drama,English,USA,PG-13,James Franco,Ryan Murphy,11000,20440,708,26000,5.7,213,140,80574010,60000000
Edge of Darkness,12/3/2010,Color,Crime,English,UK,R,Bojana Novakovic,Martin Campbell,2000,7053,258,0,6.6,258,117,43290977,80000000
Everything Must Go,5/2/2010,Color,Comedy,English,USA,R,Will Ferrell,Dan Rush,8000,10517,7,0,6.4,155,97,2711210,5000000
Extraordinary Measures,8/20/2010,Color,Drama,English,USA,PG,Harrison Ford,Tom Vaughan,11000,17560,12,0,6.5,126,106,11854694,31000000
Fair Game,11/2/2010,Color,Biography,English,USA,PG-13,Naomi Watts,Doug Liman,6000,10191,218,9000,6.8,214,108,9528092,22000000
Faster,12/28/2010,Color,Action,English,USA,R,Dwayne Johnson,George Tillman Jr.,12000,14699,88,12000,6.5,196,98,23225911,24000000
Flipped,3/29/2010,Color,Comedy,English,USA,PG,Madeline Carroll,Rob Reiner,1000,4377,0,14000,7.7,87,90,1752214,14000000
Freakonomics,10/5/2010,Color,Documentary,English,USA,PG-13,Greg Crowe,Heidi Ewing,875,2305,4,0,6.4,73,93,100675,3000000
From Paris with Love,8/2/2010,Color,Action,English,France,R,Kasia Smutniak,Pierre Morel,211,488,180,0,6.5,203,92,23324666,52000000
Furry Vengeance,3/15/2010,Color,Comedy,English,USA,PG,Brendan Fraser,Roger Kumble,3000,6327,16,0,3.8,101,92,17596256,35000000
Going the Distance,5/21/2010,Color,Comedy,English,USA,R,Rob Riggle,Nanette Burstein,839,2961,8,0,6.3,167,102,17797316,32000000
Green Zone,6/25/2010,Color,Action,English,France,R,Matt Damon,Paul Greengrass,13000,13761,521,0,6.9,266,115,35024475,100000000
Grown Ups,3/30/2010,Color,Comedy,English,USA,PG-13,Steve Buscemi,Dennis Dugan,12000,28497,221,12000,6,179,102,162001186,80000000
